воздух air
животное animal
ответ answer
пространство area
искусство art
птица bird
тело body
книга book
мальчик boy
автомобиль car
город city
цвет color
день day
лицо face
семья family
пища food
игра game
девочка girl
дом home
лошадь horse
идея idea
работа job
закон law
жизнь life
деньги money
мать mother
музыка music
имя name
ночь night
люди people
место place
сила power
продукт product
результат result
река river
комната room
школа school
наука science
море sea
песня song
студент student
стол table
учитель teacher
команда team
часы watch
вода water
женщина woman
слово word
год year
